level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	280	237	867	87	-1	
3	1	1	1	0	0	280	237	867	87	-1	
4	1	1	1	1	0	280	237	867	87	-1	
5	1	1	1	1	1	280	237	211	87	95.908882	Hoja
5	1	1	1	1	2	516	237	111	71	92.939758	de
5	1	1	1	1	3	671	237	476	86	90.918053	Repuestas
2	1	2	0	0	0	2	335	2477	11	-1	
3	1	2	1	0	0	2	335	2477	11	-1	
4	1	2	1	1	0	2	335	2477	11	-1	
5	1	2	1	1	1	2	335	2477	11	95.000000	 
2	1	3	0	0	0	314	526	1688	139	-1	
3	1	3	1	0	0	314	526	1688	139	-1	
4	1	3	1	1	0	314	526	1688	43	-1	
5	1	3	1	1	1	314	528	182	41	93.253937	Pregunta
5	1	3	1	1	2	513	526	46	34	43.368740	N”
5	1	3	1	1	3	591	522	27	52	96.697502	|
5	1	3	1	1	4	640	528	207	41	96.376740	Respuesta
5	1	3	1	1	5	863	530	165	31	96.313385	correcta
5	1	3	1	1	6	1288	528	181	41	93.243462	Pregunta
5	1	3	1	1	7	1486	526	46	34	69.054527	N*
5	1	3	1	1	8	1565	522	27	52	95.278366	|
5	1	3	1	1	9	1614	528	206	41	96.341438	Respuesta
5	1	3	1	1	10	1836	530	166	31	96.283470	correcta
4	1	3	1	2	0	803	618	998	47	-1	
5	1	3	1	2	1	803	618	33	33	92.921234	A
5	1	3	1	2	2	1386	632	46	33	96.975815	31
5	1	3	1	2	3	1775	622	26	33	93.280983	B
2	1	4	0	0	0	412	632	1394	2596	-1	
3	1	4	1	0	0	412	632	1394	2596	-1	
4	1	4	1	1	0	427	632	19	32	-1	
5	1	4	1	1	1	427	632	19	32	97.012909	1
4	1	4	1	2	0	425	709	1378	44	-1	
5	1	4	1	2	1	425	721	21	32	96.987740	2
5	1	4	1	2	2	807	709	26	33	93.229805	B
5	1	4	1	2	3	1386	720	46	33	96.740425	32
5	1	4	1	2	4	1773	709	30	34	87.583954	C
4	1	4	1	3	0	425	800	1376	43	-1	
5	1	4	1	3	1	425	810	21	33	96.896881	3
5	1	4	1	3	2	805	800	30	34	75.124252	C
5	1	4	1	3	3	1386	809	46	33	97.002548	33
5	1	4	1	3	4	1775	800	26	33	93.279953	B
4	1	4	1	4	0	424	890	1380	41	-1	
5	1	4	1	4	1	424	899	23	32	94.409081	4
5	1	4	1	4	2	807	890	26	33	93.241959	B
5	1	4	1	4	3	1386	897	47	33	96.844307	34
5	1	4	1	4	4	1771	891	33	33	96.320175	A
4	1	4	1	5	0	425	975	1376	45	-1	
5	1	4	1	5	1	425	987	21	33	96.963669	5
5	1	4	1	5	2	805	975	30	34	75.841736	C
5	1	4	1	5	3	1386	986	46	33	96.823746	35
5	1	4	1	5	4	1775	975	26	33	93.228958	B
4	1	4	1	6	0	425	1063	1378	46	-1	
5	1	4	1	6	1	425	1076	22	33	96.973267	6
5	1	4	1	6	2	807	1066	26	33	93.102013	B
5	1	4	1	6	3	1386	1075	47	33	96.975815	36
5	1	4	1	6	4	1773	1063	30	34	72.556992	C
4	1	4	1	7	0	425	1153	1376	43	-1	
5	1	4	1	7	1	425	1164	21	32	96.907486	7
5	1	4	1	7	2	803	1156	33	33	95.321877	A
5	1	4	1	7	3	1386	1163	46	33	96.807968	37
5	1	4	1	7	4	1775	1153	26	33	93.186829	B
4	1	4	1	8	0	424	1238	1380	48	-1	
5	1	4	1	8	1	424	1253	23	33	96.665039	8
5	1	4	1	8	2	803	1241	33	33	95.727715	A
5	1	4	1	8	3	1386	1252	47	33	96.876541	38
5	1	4	1	8	4	1771	1238	33	33	87.677467	A
4	1	4	1	9	0	425	1329	1378	46	-1	
5	1	4	1	9	1	425	1342	21	33	96.981422	9
5	1	4	1	9	2	805	1332	30	34	80.947960	C
5	1	4	1	9	3	1386	1340	46	33	97.017891	39
5	1	4	1	9	4	1773	1329	30	34	81.068779	C
4	1	4	1	10	0	414	1417	1390	46	-1	
5	1	4	1	10	1	414	1430	45	33	96.723373	10
5	1	4	1	10	2	807	1420	26	33	93.101700	B
5	1	4	1	10	3	1385	1429	48	33	96.848511	40
5	1	4	1	10	4	1771	1417	33	33	90.827209	A
4	1	4	1	11	0	414	1503	1389	44	-1	
5	1	4	1	11	1	414	1515	44	32	97.001045	11
5	1	4	1	11	2	807	1506	26	33	93.267899	B
5	1	4	1	11	3	1385	1514	47	32	96.743233	41
5	1	4	1	11	4	1773	1503	30	34	88.122185	C
4	1	4	1	12	0	414	1589	1387	43	-1	
5	1	4	1	12	1	414	1600	44	32	96.852669	12
5	1	4	1	12	2	805	1592	30	34	77.183075	C
5	1	4	1	12	3	1385	1599	47	32	94.918747	42
5	1	4	1	12	4	1775	1589	26	33	92.895020	B
4	1	4	1	13	0	414	1677	1390	45	-1	
5	1	4	1	13	1	414	1689	44	33	97.002747	13
5	1	4	1	13	2	805	1680	30	34	84.514130	C
5	1	4	1	13	3	1385	1688	47	33	96.601006	43
5	1	4	1	13	4	1771	1677	33	33	94.378860	A
4	1	4	1	14	0	414	1766	1387	44	-1	
5	1	4	1	14	1	414	1778	45	32	96.841240	14
5	1	4	1	14	2	807	1769	26	33	93.273468	B
5	1	4	1	14	3	1385	1776	48	32	96.397789	44
5	1	4	1	14	4	1775	1766	26	33	93.272873	B
4	1	4	1	15	0	414	1848	1389	51	-1	
5	1	4	1	15	1	414	1866	44	33	97.019394	15
5	1	4	1	15	2	805	1851	30	34	40.080154	E
5	1	4	1	15	3	1385	1865	47	33	96.686539	45
5	1	4	1	15	4	1773	1848	30	34	66.730370	o
4	1	4	1	16	0	414	1942	1389	54	-1	
5	1	4	1	16	1	414	1955	45	33	97.018463	16
5	1	4	1	16	2	801	1942	34	54	43.860977	Cc
5	1	4	1	16	3	1385	1954	48	33	96.698906	46
5	1	4	1	16	4	1773	1943	30	34	82.156181	C
4	1	4	1	17	0	414	2036	1390	39	-1	
5	1	4	1	17	1	414	2043	44	32	97.005409	17
5	1	4	1	17	2	807	2036	26	33	93.197426	B
5	1	4	1	17	3	1385	2042	47	32	94.919724	47
5	1	4	1	17	4	1771	2036	33	33	96.956139	A
4	1	4	1	18	0	414	2125	1390	40	-1	
5	1	4	1	18	1	414	2132	45	33	96.656700	18
5	1	4	1	18	2	807	2125	26	33	93.200592	B
5	1	4	1	18	3	1385	2131	48	33	96.388718	48
5	1	4	1	18	4	1771	2125	33	33	96.764206	A
4	1	4	1	19	0	414	2215	1390	39	-1	
5	1	4	1	19	1	414	2221	44	33	96.713196	19
5	1	4	1	19	2	807	2215	26	33	93.167290	B
5	1	4	1	19	3	1385	2219	47	33	95.818710	49
5	1	4	1	19	4	1771	2215	33	33	96.922653	A
4	1	4	1	20	0	412	2299	1389	43	-1	
5	1	4	1	20	1	412	2309	47	33	96.998367	20
5	1	4	1	20	2	805	2299	30	34	85.590309	C
5	1	4	1	20	3	1386	2308	47	33	96.909294	50
5	1	4	1	20	4	1775	2299	26	33	93.147491	B
4	1	4	1	21	0	412	2388	1392	42	-1	
5	1	4	1	21	1	412	2398	46	32	96.892998	21
5	1	4	1	21	2	803	2388	33	33	91.579742	A
5	1	4	1	21	3	1386	2397	46	33	96.807564	51
5	1	4	1	21	4	1771	2388	33	33	92.336700	A
4	1	4	1	22	0	412	2478	1391	40	-1	
5	1	4	1	22	1	412	2486	46	32	96.975800	22
5	1	4	1	22	2	805	2478	30	34	89.106285	C
5	1	4	1	22	3	1386	2485	46	33	96.980942	52
5	1	4	1	22	4	1773	2478	30	34	88.021225	C
4	1	4	1	23	0	412	2567	1391	41	-1	
5	1	4	1	23	1	412	2575	46	33	96.830620	23
5	1	4	1	23	2	805	2567	30	34	83.691612	C
5	1	4	1	23	3	1386	2574	46	33	96.823433	53
5	1	4	1	23	4	1773	2568	30	34	86.278343	C
4	1	4	1	24	0	412	2657	1391	39	-1	
5	1	4	1	24	1	412	2664	47	32	96.323685	24
5	1	4	1	24	2	803	2657	33	33	96.972275	A
5	1	4	1	24	3	1386	2662	47	33	96.698875	54
5	1	4	1	24	4	1773	2657	30	34	89.216293	C
4	1	4	1	25	0	412	2747	1389	38	-1	
5	1	4	1	25	1	412	2752	46	33	96.943932	25
5	1	4	1	25	2	807	2747	26	33	93.199348	B
5	1	4	1	25	3	1386	2751	46	33	96.780258	55
5	1	4	1	25	4	1775	2747	26	33	92.864204	B
4	1	4	1	26	0	412	2826	1394	48	-1	
5	1	4	1	26	1	412	2841	47	33	96.917641	26
5	1	4	1	26	2	803	2827	33	33	91.949127	A
5	1	4	1	26	3	1386	2840	47	33	96.804077	56
5	1	4	1	26	4	1773	2826	33	33	86.921043	A
4	1	4	1	27	0	412	2917	1392	44	-1	
5	1	4	1	27	1	412	2929	46	32	96.831619	27
5	1	4	1	27	2	803	2917	33	33	94.378860	A
5	1	4	1	27	3	1386	2928	46	33	96.811325	57
5	1	4	1	27	4	1771	2917	33	33	94.629456	A
4	1	4	1	28	0	412	3006	1389	45	-1	
5	1	4	1	28	1	412	3018	47	33	96.989563	28
5	1	4	1	28	2	803	3006	33	33	90.309303	A
5	1	4	1	28	3	1386	3017	47	33	96.859779	58
5	1	4	1	28	4	1775	3007	26	33	93.221359	B
4	1	4	1	29	0	412	3096	1394	44	-1	
